Timestamp,How old are you?,Do you use any Logitech products?,Were you aware that the product was made by Logitech when you purchased it?,How long have you been a user or owner of a Logitech product?,What Logitech Product do you use the most?,How satisfied are you with your Logitech mouse?,What qualities are you satisfied with? ,What qualities are you dissatisfied with? ,How satisfied are you with your Logitech keyboard?,What qualities are you satisfied with? .1,What qualities are you dissatisfied with? .1,How satisfied are you with your Logitech webcam?,What qualities are you satisfied with? .2,What qualities are you dissatisfied with? .2,How satisfied are you with your Logitech headset?,What qualities are you satisfied with? .3,What qualities are you dissatisfied with? .3,How satisfied are you with your Logitech speakers?,What qualities are you satisfied with? .4,What qualities are you dissatisfied with? .4,How satisfied are you with your Logitech product?,What qualities are you satisfied with? .5,What qualities are you dissatisfied with? .5,If you ever had an issue with your logitech product whom did you contact your retailer or logitech customer service? ,Were you satisfied with Logitech customer service?,How likely are you to recommend Logitech products to others?
2024/03/04 3:18:36 pm EET,21-30,Yes,Yes,More than 3 years,Mouse,5,Durability,,,,,,,,,,,,,,,,,I never had an issue with my product,,Likely
2024/03/04 3:28:40 pm EET,16-20,Yes,Yes,More than 3 years,Webcam,,,,,,,4,Ease of use;Durability,Features,,,,,,,,,,I never had an issue with my product,,Likely
2024/03/04 3:29:31 pm EET,21-30,Yes,Yes,More than 3 years,Mouse and Keyboard. It is not possible to choose multiple options. Fix this Nick,,,,,,,,,,,,,,,,3,Ease of use;Value for money,Features,I never had an issue with my product,,Unlikely
2024/03/04 4:55:14 pm EET,16-20,No,,,,,,,,,,,,,,,,,,,,,,,,
2024/03/04 4:58:54 pm EET,21-30,Yes,No,More than 3 years,Mouse,3,Ease of use;Durability,Value for money;Performance,,,,,,,,,,,,,,,,I never had an issue with my product,,It depends
2024/03/04 6:28:19 pm EET,55+,Yes,Yes,More than 3 years,Mouse,5,Ease of use;Value for money;Durability;Performance,,,,,,,,,,,,,,,,,I never had an issue with my product,,Likely
2024/03/04 8:59:00 pm EET,21-30,Yes,Yes,Less than 6 months,Mouse,5,Features;Performance,,,,,,,,,,,,,,,,,I never had an issue with my product,,It depends
2024/03/05 3:27:40 am EET,21-30,Yes,Yes,More than 3 years,Game controller,,,,,,,,,,,,,,,,5,Durability;Performance,Value for money,I never had an issue with my product,,Likely
2024/03/05 1:00:44 pm EET,21-30,Yes,Yes,More than 3 years,Joystick / Controller ,,,,,,,,,,,,,,,,5,Value for money;Features;Performance,,I never had an issue with my product,,It depends
2024/03/10 3:44:53 pm EET,16-20,Yes,Yes,6 months to a year,Mouse,5,Ease of use;Durability;Performance,Value for money,,,,,,,,,,,,,,,,I never had an issue with my product,,Likely
2024/03/10 3:47:31 pm EET,16-20,No,,,,,,,,,,,,,,,,,,,,,,,,
2024/03/10 3:51:53 pm EET,16-20,Yes,No,1-3 years,Mousepad,,,,,,,,,,,,,,,,4,Durability;Performance,Value for money,I never had an issue with my product,,Likely
2024/03/10 3:59:36 pm EET,16-20,No,,,,,,,,,,,,,,,,,,,,,,,,
2024/03/10 6:18:40 pm EET,16-20,Yes,Yes,1-3 years,Mouse,5,Performance,Value for money,,,,,,,,,,,,,,,,I never had an issue with my product,,Likely
2024/03/10 6:19:50 pm EET,16-20,Yes,No,1-3 years,Mouse,4,Ease of use;Performance,,,,,,,,,,,,,,,,,I never had an issue with my product,,It depends
2024/03/10 6:22:22 pm EET,55+,Yes,Yes,More than 3 years,Mouse,1,Ease of use;Performance,Value for money;Durability,,,,,,,,,,,,,,,,Retailer,,Unlikely
2024/03/10 6:29:14 pm EET,16-20,Yes,Yes,1-3 years,Mouse,5,Durability;Performance,Value for money,,,,,,,,,,,,,,,,I never had an issue with my product,,Likely
2024/03/10 6:40:25 pm EET,16-20,Yes,Yes,1-3 years,Mouse,4,Performance,,,,,,,,,,,,,,,,,I never had an issue with my product,,Likely
2024/03/11 10:20:42 pm EET,41-55,Yes,Yes,More than 3 years,Mouse,5,Ease of use;Value for money;Durability;Performance,,,,,,,,,,,,,,,,,I never had an issue with my product,,Likely
2024/04/08 2:34:09 pm EET,16-20,Yes,Yes,1-3 years,Mouse,5,Ease of use;Durability;Performance,Features,,,,,,,,,,,,,,,,I never had an issue with my product,,Likely
2024/04/09 10:24:46 am EET,41-55,Yes,Yes,More than 3 years,Mouse,3,Ease of use;Value for money,Ease of use;Value for money;Features;Durability;Performance,,,,,,,,,,,,,,,,I never had an issue with my product,,It depends
2024/04/15 12:33:29 pm EET,16-20,No,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/15 12:37:05 pm EET,21-30,Yes,Yes,More than 3 years,Mouse,5,Ease of use;Durability;Performance,,,,,,,,,,,,,,,,,I never had an issue with my product,,It depends
2024/04/15 12:37:44 pm EET,21-30,Yes,No,More than 3 years,Headset,,,,,,,,,,4,Ease of use;Durability,,,,,,,,I never had an issue with my product,,It depends
2024/04/15 12:42:33 pm EET,21-30,Yes,Yes,6 months to a year,Mouse,5,Ease of use;Durability;Performance,,,,,,,,,,,,,,,,,I never had an issue with my product,,It depends
2024/04/15 12:51:12 pm EET,16-20,Yes,Yes,1-3 years,Mouse,5,Ease of use;Value for money;Features;Durability;Performance,,,,,,,,,,,,,,,,,I never had an issue with my product,,Likely
2024/04/15 12:54:17 pm EET,21-30,Yes,Yes,More than 3 years,bro I have a mouse as well as a tastatur and mostly use them the sime time,,,,,,,,,,,,,,,,5,Ease of use;Features;Durability;Performance,Value for money,Retailer,,Likely
2024/04/15 12:56:08 pm EET,16-20,Yes,Yes,More than 3 years,Mouse,5,Ease of use;Durability;Performance,,,,,,,,,,,,,,,,,I never had an issue with my product,,Likely
2024/04/15 2:00:58 pm EET,16-20,No,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/15 2:31:33 pm EET,21-30,Yes,Yes,1-3 years,Mouse,4,Ease of use;Value for money;Durability,Features,,,,,,,,,,,,,,,,I never had an issue with my product,,It depends
2024/04/15 4:44:46 pm EET,21-30,Yes,Yes,More than 3 years,Mouse,5,Ease of use;Features;Performance,,,,,,,,,,,,,,,,,Customer service,Yes,Likely
2024/04/15 6:44:24 pm EET,21-30,Yes,Yes,1-3 years,Keyboard,,,,5,Ease of use;Performance,,,,,,,,,,,,,,I never had an issue with my product,,Likely
2024/05/06 1:57:48 pm EEST,16-20,Yes,Yes,More than 3 years,Webcam,,,,,,,5,Ease of use;Value for money;Durability;Performance,Features,,,,,,,,,,Retailer,,Likely
